"Country","GDP growth (annual %)","Rank","Year"
"Maldives","6.03","71","2004"
"Bhutan","6","72","2004"
"Central African Republic (the)","5.99","73","2004"
"Senegal","5.87","74","2004"
"Georgia","5.79","75","2004"
"Cuba","5.77","76","2004"
"Antigua and Barbuda","5.76","77","2004"
"Brazil","5.75","78","2004"
"Ghana","5.59","79","2004"
"Albania","5.5","80","2004"
"Sri Lanka","5.44","81","2004"
"Malawi","5.42","82","2004"
"Colombia","5.33","83","2004"
"Nicaragua","5.31","84","2004"
"Fiji","5.29","85","2004"
"Slovakia","5.27","86","2004"
"Madagascar","5.25","87","2004"
"Bangladesh","5.23","88","2004"
"Korea (the Republic of)","5.19","89","2004"
"Kenya","5.1","90","2004"
"Greece","5.06","91","2004"
"Indonesia","5.03","92","2004"
"Cyprus","5.02","93","2004"
"Turkmenistan","5","94","2004"
"Uruguay","5","95","2004"
"Poland","4.98","96","2004"
"Peru","4.95","97","2004"
"Palau","4.85","98","2004"
"Burundi","4.83","99","2004"
"Hungary","4.82","100","2004"
"Czechia","4.81","101","2004"
"Morocco","4.79","102","2004"
"Belize","4.78","103","2004"
"Mauritania","4.73","104","2004"
"Nepal","4.68","105","2004"
"North Macedonia","4.67","106","2004"
"Samoa","4.62","107","2004"
"South Africa","4.55","108","2004"
"San Marino","4.54","109","2004"
"Burkina Faso","4.47","110","2004"
"Libya","4.46","111","2004"
"Montenegro","4.42","112","2004"
"Benin","4.42","113","2004"
"World","4.4","","2004"
"Iran (Islamic Republic of)","4.37","114","2004"
"Slovenia","4.35","115","2004"
"Sweden","4.33","116","2004"
"Mauritius","4.33","117","2004"
"Costa Rica","4.33","118","2004"
"Algeria","4.29","119","2004"
"Israel","4.18","120","2004"
"Bolivia (Plurinational State of)","4.17","121","2004"
"Croatia","4.15","122","2004"
"Saint Vincent and the Grenadines","4.15","123","2004"
"Egypt","4.09","124","2004"
"Paraguay","4.05","125","2004"
"Australia","4.05","126","2004"
"New Zealand","4.02","127","2004"
"Finland","3.99","128","2004"
"Saint Kitts and Nevis","3.99","129","2004"
"Vanuatu","3.98","130","2004"
"Yemen","3.97","131","2004"
"Norway","3.96","132","2004"
"Mexico","3.92","133","2004"
"Canada","3.91","134","2004"
"Sudan (the)","3.88","135","2004"
"Sao Tome and Principe","3.83","136","2004"
"United States of America (the)","3.79","137","2004"
"Eswatini","3.62","138","2004"
"Luxembourg","3.61","139","2004"
"Belgium","3.57","140","2004"
"Congo (the)","3.47","141","2004"
"Guatemala","3.15","142","2004"
"Spain","3.12","143","2004"
"Dominica","3.05","144","2004"
"Liechtenstein","3.03","145","2004"
"France","2.82","146","2004"
"Switzerland","2.77","147","2004"
"Guinea-Bissau","2.76","148","2004"
"Austria","2.73","149","2004"
"Papua New Guinea","2.72","150","2004"
"Botswana","2.7","151","2004"
"Denmark","2.66","152","2004"
"Liberia","2.61","153","2004"
"Dominican Republic (the)","2.57","154","2004"
"Monaco","2.47","155","2004"
"United Kingdom","2.37","156","2004"
"Guinea","2.34","157","2004"
"Japan","2.2","158","2004"
"Netherlands (the)","1.98","159","2004"
"Comoros (the)","1.91","160","2004"
"Portugal","1.78","161","2004"
"Lesotho","1.69","162","2004"
"Guyana","1.56","163","2004"
"Mali","1.55","164","2004"
"Eritrea","1.45","165","2004"
"Italy","1.42","166","2004"
"Afghanistan","1.41","167","2004"
"Barbados","1.41","168","2004"
"Jamaica","1.32","169","2004"
"Oman","1.29","170","2004"
"Côte d'Ivoire","1.23","171","2004"
"Germany","1.17","172","2004"
"Marshall Islands (the)","0.94","173","2004"
"El Salvador","0.89","174","2004"
"Bahamas (the)","0.88","175","2004"
"Gabon","0.68","176","2004"
"Brunei Darussalam","0.5","177","2004"
"Timor-Leste","0.4","178","2004"
"Niger (the)","0.36","179","2004"
"Curaçao","0.2","180","2004"
"Malta","0.14","181","2004"
"Grenada","-0.65","191","2004"
"Togo","-0.98","192","2004"
"Haiti","-1.24","193","2004"
"Tuvalu","-1.36","194","2004"
"Kiribati","-1.63","195","2004"
"Tonga","-2.42","196","2004"
"Seychelles","-2.86","197","2004"
"Micronesia (Federated States of)","-3.09","198","2004"
"Zimbabwe","-5.81","199","2004"
"Holy See (the)","null","182","2004"
"Taiwan","null","183","2004"
"Korea (the Democratic People's Republic of)","null","184","2004"
"Somalia","null","185","2004"
"South Sudan","null","186","2004"
"Djibouti","null","187","2004"
"Bonaire","null","188","2004"
"Sint Maarten (Dutch part)","null","189","2004"
"Nauru","null","190","2004"
"Faroe Islands","null","200","2004"
"United States Minor Outlying Islands","null","201","2004"
"Serranilla Bank","null","202","2004"
"Scarborough Reef","null","203","2004"
"Bajo Nuevo Bank (Petrel Is.)","null","204","2004"
"Spratly Islands","null","205","2004"
"American Samoa","null","206","2004"
"Greenland","null","207","2004"
"Guam","null","208","2004"
"Northern Mariana Islands","null","209","2004"
"Puerto Rico","null","210","2004"
"United States Virgin Islands","null","211","2004"
"Somaliland","null","212","2004"
"Northern Cyprus","null","213","2004"
"Cyprus No Mans Area","null","214","2004"
"Western Sahara","null","215","2004"
"Siachen Glacier","null","216","2004"
"Kosovo","null","217","2004"
